product_id,product_name,category,subcategory,brand,cost_price,selling_price,supplier,stock_quantity
PROD-0001,Fortune Snacks & Beverages Pro,Grocery,Snacks & Beverages,Fortune,1094.48,1229.0,FarmFresh Agro Supplies,421
PROD-0002,W Kids Wear Max,Fashion,Kids Wear,W,3394.4,5409.0,Royal Garments Supply,214
PROD-0003,Maybelline Haircare Plus,Beauty,Haircare,Maybelline,1149.14,3229.0,Aura Personal Care,106
PROD-0004,Cello Small Appliances Classic,Home & Kitchen,Small Appliances,Cello,400.27,589.0,Sterling Kitchenware,222
PROD-0005,Catch Organic Foods Essentials,Grocery,Organic Foods,Catch,933.74,1129.0,Annapurna FMCG Wholesale,572
PROD-0006,Yonex Fitness Equipment Plus,Sports,Fitness Equipment,Yonex,2834.33,4589.0,Action Sports Distribution,183
PROD-0007,Penguin Fiction Classic,Books,Fiction,Penguin,429.93,619.0,Scholar Press Logistics,15
PROD-0008,FabIndia Ethnic Wear Prime,Fashion,Ethnic Wear,FabIndia,1654.76,3169.0,Vibrant Textiles Corp,258
PROD-0009,Nike Kids Wear Essentials,Fashion,Kids Wear,Nike,1694.66,3669.0,Vibrant Textiles Corp,522
PROD-0010,Haldiram's Breakfast & Dairy Max,Grocery,Breakfast & Dairy,Haldiram's,81.39,99.0,FarmFresh Agro Supplies,209
PROD-0011,Peter England Women's Wear Series 5,  Fashion  ,Women's Wear,Peter England,2940.57,4719.0,Vibrant Textiles Corp,318
PROD-0012,L'Oreal Makeup Pro,Beauty,Makeup,L'Oreal,1005.89,1919.0,Divine Botanicals,187
PROD-0013,Wildcraft Travel Gear Classic,Accessories,Travel Gear,Wildcraft,2069.51,3999.0,Optima Accessories,420
PROD-0014,Xiaomi Audio & Headphones Max,Electronics,Audio & Headphones,Xiaomi,2588.26,3079.0,Apex Electronics Ltd,456
PROD-0015,Amul Organic Foods Plus,Grocery,Organic Foods,Amul,1202.7,1349.0,Annapurna FMCG Wholesale,477
PROD-0016,Milton Small Appliances Prime,Home & Kitchen,Small Appliances,Milton,1409.15,2009.0,HomeCraft Distributors,496
PROD-0017,FabIndia Kids Wear Essentials,Fashion,Kids Wear,FabIndia,555.29,1099.0,Vibrant Textiles Corp,526
PROD-0018,Nykaa Men's Grooming Max,Beauty,Men's Grooming,Nykaa,874.03,1499.0,PureGlow Cosmetics,29
PROD-0019,Oxford University Press Non-Fiction Essentials,Books,Non-Fiction,Oxford University Press,394.77,619.0,Global Book Importers,564
PROD-0020,Hawkins Small Appliances Plus,Home & Kitchen,Small Appliances,Hawkins,3313.33,6059.0,Urban Living Goods,282
PROD-0021,Spaces Storage & Org Premium,Home & Kitchen,Storage & Org,Spaces,628.92,1179.0,HomeCraft Distributors,574
PROD-0022,Kiprun Outdoor Gear Premium,Sports,Outdoor Gear,Kiprun,5438.88,9209.0,FitNation Logistics,463
PROD-0023,Biotique Haircare Series 5,Beauty,Haircare,Biotique,151.02,279.0,PureGlow Cosmetics,263
PROD-0024,Skybags Bags & Backpacks Classic,Accessories,Bags & Backpacks,Skybags,406.89,709.0,Vanguard Leather Works,571
PROD-0025,Yonex Outdoor Gear Elite,Sports,Outdoor Gear,Yonex,3110.47,4489.0,Action Sports Distribution,249
PROD-0026,Peter England Kids Wear Pro,Fashion,Kids Wear,Peter England,1029.94,1599.0,Heritage Weaves,519
PROD-0027,Puma Sports Racket Sports Prime,Sports,Racket Sports,Puma Sports,555.5,959.0,Olympus Gear,427
PROD-0028,Jaico Fiction Pro,Books,Fiction,Jaico,428.8,589.0,National Book Depot,427
PROD-0029,Bajaj Bedding & Linen Series 5,Home & Kitchen,Bedding & Linen,Bajaj,945.07,1449.0,Sterling Kitchenware,165
PROD-0030,Rupa Publications Fiction Prime,Books,Fiction,Rupa Publications,264.53,409.0,Global Book Importers,568
