product_id,product_name,category,subcategory,brand,cost_price,selling_price,supplier,stock_quantity,profit_margin_percentage
PROD-0001,Fortune Snacks & Beverages Pro,Grocery,Snacks & Beverages,Fortune,1094.48,1229.0,Farmfresh Agro Supplies,421,10.95
PROD-0002,W Kids Wear Max,Fashion,Kids Wear,W,3394.4,5409.0,Royal Garments Supply,214,37.25
PROD-0003,Maybelline Haircare Plus,Beauty,Haircare,Maybelline,1149.14,3229.0,Aura Personal Care,106,64.41
PROD-0004,Cello Small Appliances Classic,Home & Kitchen,Small Appliances,Cello,400.27,589.0,Sterling Kitchenware,222,32.04
PROD-0005,Catch Organic Foods Essentials,Grocery,Organic Foods,Catch,933.74,1129.0,Annapurna Fmcg Wholesale,572,17.29
PROD-0006,Yonex Fitness Equipment Plus,Sports,Fitness Equipment,Yonex,2834.33,4589.0,Action Sports Distribution,183,38.24
PROD-0007,Penguin Fiction Classic,Books,Fiction,Penguin,429.93,619.0,Scholar Press Logistics,15,30.54
PROD-0008,Fabindia Ethnic Wear Prime,Fashion,Ethnic Wear,Fabindia,1654.76,3169.0,Vibrant Textiles Corp,258,47.78
PROD-0009,Nike Kids Wear Essentials,Fashion,Kids Wear,Nike,1694.66,3669.0,Vibrant Textiles Corp,522,53.81
PROD-0010,Haldiram'S Breakfast & Dairy Max,Grocery,Breakfast & Dairy,Haldiram'S,81.39,99.0,Farmfresh Agro Supplies,209,17.79
PROD-0011,Peter England Women'S Wear Series 5,Fashion,Women'S Wear,Peter England,2940.57,4719.0,Vibrant Textiles Corp,318,37.69
PROD-0012,L'Oreal Makeup Pro,Beauty,Makeup,L'Oreal,1005.89,1919.0,Divine Botanicals,187,47.58
PROD-0013,Wildcraft Travel Gear Classic,Accessories,Travel Gear,Wildcraft,2069.51,3999.0,Optima Accessories,420,48.25
PROD-0014,Xiaomi Audio & Headphones Max,Electronics,Audio & Headphones,Xiaomi,2588.26,3079.0,Apex Electronics Ltd,456,15.94
PROD-0015,Amul Organic Foods Plus,Grocery,Organic Foods,Amul,1202.7,1349.0,Annapurna Fmcg Wholesale,477,10.85
PROD-0016,Milton Small Appliances Prime,Home & Kitchen,Small Appliances,Milton,1409.15,2009.0,Homecraft Distributors,496,29.86
PROD-0017,Fabindia Kids Wear Essentials,Fashion,Kids Wear,Fabindia,555.29,1099.0,Vibrant Textiles Corp,526,49.47
PROD-0018,Nykaa Men'S Grooming Max,Beauty,Men'S Grooming,Nykaa,874.03,1499.0,Pureglow Cosmetics,29,41.69
PROD-0019,Oxford University Press Non-Fiction Essentials,Books,Non-Fiction,Oxford University Press,394.77,619.0,Global Book Importers,564,36.22
PROD-0020,Hawkins Small Appliances Plus,Home & Kitchen,Small Appliances,Hawkins,3313.33,6059.0,Urban Living Goods,282,45.32
PROD-0021,Spaces Storage & Org Premium,Home & Kitchen,Storage & Org,Spaces,628.92,1179.0,Homecraft Distributors,574,46.66
PROD-0022,Kiprun Outdoor Gear Premium,Sports,Outdoor Gear,Kiprun,5438.88,9209.0,Fitnation Logistics,463,40.94
PROD-0023,Biotique Haircare Series 5,Beauty,Haircare,Biotique,151.02,279.0,Pureglow Cosmetics,263,45.87
PROD-0024,Skybags Bags & Backpacks Classic,Accessories,Bags & Backpacks,Skybags,406.89,709.0,Vanguard Leather Works,571,42.61
PROD-0025,Yonex Outdoor Gear Elite,Sports,Outdoor Gear,Yonex,3110.47,4489.0,Action Sports Distribution,249,30.71
PROD-0026,Peter England Kids Wear Pro,Fashion,Kids Wear,Peter England,1029.94,1599.0,Heritage Weaves,519,35.59
PROD-0027,Puma Sports Racket Sports Prime,Sports,Racket Sports,Puma Sports,555.5,959.0,Olympus Gear,427,42.08
PROD-0028,Jaico Fiction Pro,Books,Fiction,Jaico,428.8,589.0,National Book Depot,427,27.2
PROD-0029,Bajaj Bedding & Linen Series 5,Home & Kitchen,Bedding & Linen,Bajaj,945.07,1449.0,Sterling Kitchenware,165,34.78
PROD-0030,Rupa Publications Fiction Prime,Books,Fiction,Rupa Publications,264.53,409.0,Global Book Importers,568,35.32
PROD-0031,Oneplus Laptops Classic,Electronics,Laptops,Oneplus,1128.88,1519.0,Metro Gadget Hub,199,25.68
PROD-0032,The Derma Co Haircare Classic,Beauty,Haircare,The Derma Co,411.24,859.0,Aura Personal Care,103,52.13
PROD-0033,Nike Ethnic Wear Elite,Fashion,Ethnic Wear,Nike,1868.16,2979.0,Vibrant Textiles Corp,567,37.29
PROD-0034,Mamaearth Fragrances Ultra,Beauty,Fragrances,Mamaearth,380.26,1019.0,Divine Botanicals,429,62.68
PROD-0035,Philips Storage & Org Max,Home & Kitchen,Storage & Org,Philips,326.34,539.0,Urban Living Goods,550,39.45
PROD-0036,Apple Accessories Premium,Electronics,Accessories,Apple,1767.93,2019.0,Apex Electronics Ltd,157,12.44
PROD-0037,Spaces Home Decor Premium,Home & Kitchen,Home Decor,Spaces,287.39,459.0,Sterling Kitchenware,55,37.39
PROD-0038,Amul Breakfast & Dairy Prime,Grocery,Breakfast & Dairy,Amul,542.44,609.0,Annapurna Fmcg Wholesale,569,10.93
PROD-0039,W Footwear Classic,Fashion,Footwear,W,1086.02,2659.0,Vibrant Textiles Corp,144,59.16
PROD-0040,Sony Smartphones Premium,Electronics,Smartphones,Sony,25650.29,32009.0,Apex Electronics Ltd,250,19.87
PROD-0041,Spaces Storage & Org Premium,Home & Kitchen,Storage & Org,Spaces,4238.03,7429.0,Urban Living Goods,271,42.95
PROD-0042,Rupa Publications Children'S Books Classic,Books,Children'S Books,Rupa Publications,213.61,309.0,Scholar Press Logistics,320,30.87
PROD-0043,The Derma Co Men'S Grooming Premium,Beauty,Men'S Grooming,The Derma Co,232.55,499.0,Divine Botanicals,539,53.4
PROD-0044,Fabindia Kids Wear Max,Fashion,Kids Wear,Fabindia,389.26,709.0,Heritage Weaves,305,45.1
PROD-0045,Yonex Outdoor Gear Series 5,Sports,Outdoor Gear,Yonex,5800.35,8809.0,Olympus Gear,534,34.15
PROD-0046,Lakme Fragrances Essentials,Beauty,Fragrances,Lakme,101.09,269.0,Divine Botanicals,108,62.42
PROD-0047,Philips Home Decor Series 5,Home & Kitchen,Home Decor,Philips,2367.33,4219.0,Homecraft Distributors,426,43.89
PROD-0048,Raymond Ethnic Wear Plus,Fashion,Ethnic Wear,Raymond,726.26,1859.0,Royal Garments Supply,567,60.93
PROD-0049,Apple Accessories Premium,Electronics,Accessories,Apple,13250.39,17779.0,Apex Electronics Ltd,477,25.47
PROD-0050,Raymond Footwear Premium,Fashion,Footwear,Raymond,1690.73,4249.0,Vibrant Textiles Corp,80,60.21
PROD-0051,Yonex Cycling Series 5,Sports,Cycling,Yonex,477.56,699.0,Olympus Gear,519,31.68
PROD-0052,Xiaomi Smartwatches Premium,Electronics,Smartwatches,Xiaomi,26552.43,34889.0,Apex Electronics Ltd,461,23.89
PROD-0053,Forest Essentials Men'S Grooming Classic,Beauty,Men'S Grooming,Forest Essentials,328.99,549.0,Divine Botanicals,147,40.07
PROD-0054,Puma Sports Outdoor Gear Plus,Sports,Outdoor Gear,Puma Sports,2479.32,4369.0,Olympus Gear,520,43.25
PROD-0055,Domyos Fitness Equipment Series 5,Sports,Fitness Equipment,Domyos,3832.56,6379.0,Olympus Gear,340,39.92
PROD-0056,Lakme Men'S Grooming Classic,Beauty,Men'S Grooming,Lakme,255.59,679.0,Aura Personal Care,258,62.36
PROD-0057,Lakme Makeup Ultra,Beauty,Makeup,Lakme,369.83,619.0,Divine Botanicals,45,40.25
PROD-0058,Nike Winter Wear Prime,Fashion,Winter Wear,Nike,1110.29,1929.0,Royal Garments Supply,354,42.44
PROD-0059,Peter England Winter Wear Pro,Fashion,Winter Wear,Peter England,1117.07,1849.0,Heritage Weaves,46,39.59
PROD-0060,Harpercollins Fiction Series 5,Books,Fiction,Harpercollins,281.47,409.0,National Book Depot,195,31.18
PROD-0061,Sony Accessories Ultra,Electronics,Accessories,Sony,2870.01,3489.0,Zenith Tech Distribution,272,17.74
PROD-0062,Arihant Non-Fiction Essentials,Books,Non-Fiction,Arihant,550.06,739.0,National Book Depot,418,25.57
PROD-0063,Nykaa Haircare Premium,Beauty,Haircare,Nykaa,140.92,399.0,Aura Personal Care,316,64.68
PROD-0064,Voylla Watches Classic,Accessories,Watches,Voylla,634.36,1569.0,Optima Accessories,560,59.57
PROD-0065,Rupa Publications Children'S Books Plus,Books,Children'S Books,Rupa Publications,446.91,669.0,National Book Depot,214,33.2
PROD-0066,Lenskart Travel Gear Elite,Accessories,Travel Gear,Lenskart,737.79,1749.0,Optima Accessories,429,57.82
PROD-0067,Rupa Publications Non-Fiction Elite,Books,Non-Fiction,Rupa Publications,396.98,599.0,Global Book Importers,206,33.73
PROD-0068,Nike Kids Wear Essentials,Fashion,Kids Wear,Nike,768.28,1259.0,Heritage Weaves,197,38.98
PROD-0069,Spaces Home Decor Premium,Home & Kitchen,Home Decor,Spaces,780.33,1499.0,Homecraft Distributors,190,47.94
PROD-0070,Maybelline Fragrances Plus,Beauty,Fragrances,Maybelline,1006.12,1899.0,Divine Botanicals,366,47.02
PROD-0071,Arihant Children'S Books Elite,Books,Children'S Books,Arihant,360.31,539.0,Scholar Press Logistics,119,33.15
PROD-0072,W Women'S Wear Series 5,Fashion,Women'S Wear,W,933.2,1949.0,Vibrant Textiles Corp,415,52.12
PROD-0073,The Derma Co Makeup Essentials,Beauty,Makeup,The Derma Co,1033.88,2739.0,Pureglow Cosmetics,546,62.25
PROD-0074,American Tourister Eyewear Elite,Accessories,Eyewear,American Tourister,720.97,2199.0,Vanguard Leather Works,31,67.21
PROD-0075,Rupa Publications Children'S Books Ultra,Books,Children'S Books,Rupa Publications,184.31,259.0,National Book Depot,282,28.84
PROD-0076,Allen Solly Women'S Wear Ultra,Fashion,Women'S Wear,Allen Solly,299.01,499.0,Vibrant Textiles Corp,137,40.08
PROD-0077,Xiaomi Accessories Max,Electronics,Accessories,Xiaomi,17244.52,21019.0,Metro Gadget Hub,130,17.96
PROD-0078,Zudio Ethnic Wear Classic,Fashion,Ethnic Wear,Zudio,1411.33,3319.0,Royal Garments Supply,63,57.48
PROD-0079,Lenskart Watches Elite,Accessories,Watches,Lenskart,950.49,2019.0,Vanguard Leather Works,256,52.92
PROD-0080,Allen Solly Footwear Elite,Fashion,Footwear,Allen Solly,514.89,869.0,Vibrant Textiles Corp,230,40.75
PROD-0081,Puma Ethnic Wear Elite,Fashion,Ethnic Wear,Puma,3819.99,5879.0,Vibrant Textiles Corp,315,35.02
PROD-0082,Oneplus Smartwatches Elite,Electronics,Smartwatches,Oneplus,1464.87,1879.0,Zenith Tech Distribution,222,22.04
PROD-0083,Levi'S Men'S Wear Classic,Fashion,Men'S Wear,Levi'S,950.79,1559.0,Heritage Weaves,389,39.01
PROD-0084,Levi'S Kids Wear Essentials,Fashion,Kids Wear,Levi'S,323.38,639.0,Royal Garments Supply,552,49.39
PROD-0085,Boat Smartphones Essentials,Electronics,Smartphones,Boat,23194.78,28969.0,Zenith Tech Distribution,339,19.93
PROD-0086,Decathlon Fitness Equipment Ultra,Sports,Fitness Equipment,Decathlon,942.51,1399.0,Olympus Gear,168,32.63
PROD-0087,Oneplus Accessories Max,Electronics,Accessories,Oneplus,6971.97,8629.0,Zenith Tech Distribution,51,19.2
PROD-0088,Philips Home Decor Prime,Home & Kitchen,Home Decor,Philips,2052.93,3709.0,Sterling Kitchenware,556,44.65
PROD-0089,Kiprun Fitness Equipment Series 5,Sports,Fitness Equipment,Kiprun,318.42,509.0,Olympus Gear,499,37.44
PROD-0090,Samsung Cameras Classic,Electronics,Cameras,Samsung,15488.58,18739.0,Metro Gadget Hub,504,17.35
PROD-0091,Noise Smartphones Classic,Electronics,Smartphones,Noise,31832.22,40089.0,Zenith Tech Distribution,255,20.6
PROD-0092,W Kids Wear Elite,Fashion,Kids Wear,W,272.16,539.0,Heritage Weaves,426,49.51
PROD-0093,Aashirvaad Snacks & Beverages Series 5,Grocery,Snacks & Beverages,Aashirvaad,320.41,409.0,Farmfresh Agro Supplies,453,21.66
